frame_id,relative_frame,timestamp_seconds,timestamp_hms,left_transit_lane_total,left_transit_lane_person,left_transit_lane_vat,rack_buffer_area_total,rack_buffer_area_person,rack_buffer_area_vat,machine_service_area_total,machine_service_area_person,machine_service_area_vat,front_vat_staging_total,front_vat_staging_person,front_vat_staging_vat,right_loading_area_total,right_loading_area_person,right_loading_area_vat
239,239,39.667,00:00:39,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
240,240,39.833,00:00:39,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
241,241,40.0,00:00:40,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
242,242,40.167,00:00:40,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
243,243,40.333,00:00:40,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
244,244,40.5,00:00:40,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
245,245,40.667,00:00:40,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
246,246,40.833,00:00:40,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
247,247,41.0,00:00:41,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
248,248,41.167,00:00:41,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
249,249,41.333,00:00:41,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
250,250,41.5,00:00:41,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
251,251,41.667,00:00:41,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
252,252,41.833,00:00:41,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
253,253,42.0,00:00:42,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
254,254,42.167,00:00:42,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
255,255,42.333,00:00:42,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
256,256,42.5,00:00:42,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
257,257,42.667,00:00:42,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
258,258,42.833,00:00:42,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
259,259,43.0,00:00:43,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
260,260,43.167,00:00:43,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
261,261,43.333,00:00:43,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
